OBJECTID	FOD_ID	FPA_ID	SOURCE_SYSTEM_TYPE	SOURCE_SYSTEM	NWCG_REPORTING_AGENCY	NWCG_REPORTING_UNIT_ID	NWCG_REPORTING_UNIT_NAME	SOURCE_REPORTING_UNIT	SOURCE_REPORTING_UNIT_NAME	LOCAL_FIRE_REPORT_ID	LOCAL_INCIDENT_ID	FIRE_CODE	FIRE_NAME	ICS_209_INCIDENT_NUMBER	ICS_209_NAME	MTBS_ID	MTBS_FIRE_NAME	COMPLEX_NAME	FIRE_YEAR	DISCOVERY_DATE	DISCOVERY_DOY	DISCOVERY_TIME	STAT_CAUSE_CODE	STAT_CAUSE_DESCR	CONT_DATE	CONT_DOY	CONT_TIME	FIRE_SIZE	FIRE_SIZE_CLASS	LATITUDE	LONGITUDE	OWNER_CODE	OWNER_DESCR	STATE	COUNTY	FIPS_CODE	FIPS_NAME	Shape
1722576	300000652	FS-1520634	FED	FS-FIRESTAT	FS	USAZKNF	Kaibab National Forest	0307	Kaibab National Forest	001	01	H09E	PINE HILL						2014	2456664.5	7	0942	5	Debris Burning	2456664.5	7	1155	1	B	35.23305556	-112.07611111	5	USFS	AZ	Coconino	005	Coconino	
1722713	300000792	FS-1519863	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	002	2	EK1S	SPANISH						2014	2456661.5	4	0625	2	Equipment Use	2456661.5	4	0655	0.1	A	34.64416667	-118.75083333	5	USFS	CA	Los Angeles	037	Los Angeles	
1722714	300000793	FS-1519864	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	001	1	EK1S	TURNAROUND						2014	2456660.5	3	1739	9	Miscellaneous	2456660.5	3	1845	0.25	A	34.64	-118.74777778	5	USFS	CA	Los Angeles	037	Los Angeles	
1722715	300000794	FS-1519900	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	005	4	EN0A	SAGE						2014	2456663.5	6	1041	9	Miscellaneous	2456663.5	6	1110	0.25	A	34.50222222	-118.25555556	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722716	300000795	FS-1519902	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	003	3	EN0A	UHAUL						2014	2456662.5	5	2259	2	Equipment Use	2456662.5	5	2315	0.1	A	34.54333333	-118.65305556	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722717	300000796	FS-1519926	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	007	06	EN0A	PAMPLICO						2014	2456666.5	9	1500	9	Miscellaneous	2456666.5	9	1545	1.5	B	34.44972222	-118.52666667	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722718	300000797	FS-1519932	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	006	05	EN0A	GARNETT 						2014	2456665.5	8	1012	9	Miscellaneous	2456665.5	8	1045	0.12	A	34.4675	-118.52722222	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722719	300000798	FS-1520075	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	010	08	EN0A	SMOKEY						2014	2456673.5	16	1107	12	Structure	2456673.5	16	1215	1	B	34.72333333	-118.79527778	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722720	300000799	FS-1520076	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	008	7	H1AU	ISLAND						2014	2456667.5	10	1516	2	Equipment Use	2456667.5	10	1545	0.1	A	34.59638889	-118.71222222	5	USFS	CA	Los Angeles	037	Los Angeles	
1722721	300000800	FS-1520162	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	013	9	EN0A	BEAMER						2014	2456680.5	23	2110	2	Equipment Use	2456680.5	23	2125	0.1	A	34.73361111	-118.7975	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722752	300000831	FS-1520219	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	014	3	EK1S	BARRETT						2014	2456686.5	29	1011	9	Miscellaneous	2456686.5	29	1015	0.1	A	34.22277778	-117.66083333	13	STATE OR PRIVATE	CA	Los Angeles	037	Los Angeles	
1722755	300000834	FS-1520216	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	009	2	H1C7	COLBY	249140	COLBY	CA3415911784320140116	COLBY		2014	2456673.5	16	0555	4	Campfire	2456678.5	21	1800	1980	F	34.165	-117.84777778	5	USFS	CA	Los Angeles	037	Los Angeles	
1722756	300000835	FS-1520755	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	004	1	EN0A	CANYON						2014	2456663.5	6	0015	9	Miscellaneous	2456663.5	6	0302	4	B	34.15333333	-117.92277778	14	MISSING/NOT SPECIFIED	CA	Los Angeles	037	Los Angeles	
1722786	300000865	FS-1520106	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	011	1	H1ET	HIDDEN						2014	2456675.5	18	1758	9	Miscellaneous	2456675.5	18	1815	0.5	B	34.31555556	-118.13638889	5	USFS	CA	Los Angeles	037	Los Angeles	
1722788	300000867	FS-1520427	FED	FS-FIRESTAT	FS	USCAANF	Angeles National Forest	0501	Angeles National Forest	012	2	EK1S	FALLS						2014	2456675.5	18	1405	4	Campfire	2456675.5	18	1600	0.1	A	34.26861111	-118.14694444	5	USFS	CA	Los Angeles	037	Los Angeles	
1722820	300000899	FS-1519853	FED	FS-FIRESTAT	FS	USCACNF	Cleveland National Forest	0502	Cleveland National Forest	001	01	H06W	HOLY						2014	2456658.5	1	1801	9	Miscellaneous	2456663.5	6	1629	1	B	33.67555556	-117.51833333	5	USFS	CA	Orange	059	Orange	
1722821	300000900	FS-1520074	FED	FS-FIRESTAT	FS	USCACNF	Cleveland National Forest	0502	Cleveland National Forest	004	2	H1EV	DIVIDE						2014	2456676.5	19	0127	2	Equipment Use	2456676.5	19	0300	1.3	B	33.59944444	-117.34722222	13	STATE OR PRIVATE	CA	Riverside	065	Riverside	
1722823	300000902	FS-1519898	FED	FS-FIRESTAT	FS	USCACNF	Cleveland National Forest	0502	Cleveland National Forest	002	01	H08J	EIGHT						2014	2456663.5	6	0957	2	Equipment Use	2456663.5	6	1030	0.25	A	32.82333333	-116.59944444	13	STATE OR PRIVATE	CA	San Diego	073	San Diego	
1722824	300000903	FS-1520058	FED	FS-FIRESTAT	FS	USCACNF	Cleveland National Forest	0502	Cleveland National Forest	003	02	H1CR	BROWNS						2014	2456672.5	15	1200	4	Campfire	2456672.5	15	2000	0.25	A	32.85472222	-116.67166667	6	OTHER FEDERAL	CA	San Diego	073	San Diego	
1722859	300000938	FS-1520173	FED	FS-FIRESTAT	FS	USCACNF	Cleveland National Forest	0502	Cleveland National Forest	005	03	EN0B	COW						2014	2456680.5	23	1201	2	Equipment Use	2456680.5	23	1400	0.1	A	33.71638889	-117.44333333	14	MISSING/NOT SPECIFIED	CA	Riverside	065	Riverside	
1722880	300000960	FS-1520174	FED	FS-FIRESTAT	FS	USCACNF	Cleveland National Forest	0502	Cleveland National Forest	006	01	H1LK	REY						2014	2456681.5	24	1130	4	Campfire	2456681.5	24	1155	0.1	A	33.25305556	-116.79277778	5	USFS	CA	San Diego	073	San Diego	
1722940	300001027	FS-1520866	FED	FS-FIRESTAT	FS	USCABDF	San Bernardino National Forest	0512	San Bernardino National Forest	003	584	H1AY	QUARRY						2014	2456668.5	11	1436	9	Miscellaneous	2456668.5	11	1630	0.1	A	33.84	-116.59166667	14	MISSING/NOT SPECIFIED	CA	Riverside	065	Riverside	
1723032	300001121	FS-1520117	FED	FS-FIRESTAT	FS	USCATMU	Lake Tahoe Basin Management Unit	0519	Lake Tahoe Basin Mgmt Unit	001	CATMU 1892	H1JV	ALLISON						2014	2456681.5	24	0230	4	Campfire	2456681.5	24	1030	0.6	B	39.27555556	-119.95722222	5	USFS	NV	Washoe	031	Washoe	
1723098	300001187	FS-1520792	FED	FS-FIRESTAT	FS	USWAMSF	Mt. Baker-Snoqualmie National Forest	0605	Mt. Baker-Snoqualmie N.F.	002	WA-MSF-004	H09M	FOUR WINDS						2014	2456664.5	7	1130	7	Arson	2456664.5	7	1132	0.1	A	47.07722222	-121.58722222	5	USFS	WA	Pierce	053	Pierce	
1723140	300001230	FS-1521239	FED	FS-FIRESTAT	FS	USALALF	National Forests in Alabama	0801	National Forests In Alabama	001	001	EK2T	BAD TOOTH						2014	2456669.5	12	1215	7	Arson	2456670.5	13	1200	1	B	33.39555556	-85.95861111	5	USFS	AL	Talladega	121	Talladega	
1723141	300001231	FS-1521235	FED	FS-FIRESTAT	FS	USALALF	National Forests in Alabama	0801	National Forests In Alabama	004	004	EK2T	COLD						2014	2456681.5	24	1149	7	Arson	2456682.5	25	1200	1.5	B	33.39583333	-85.96027778	5	USFS	AL	Talladega	121	Talladega	
1723142	300001232	FS-1521236	FED	FS-FIRESTAT	FS	USALALF	National Forests in Alabama	0801	National Forests In Alabama	003	003	EK2T	BARBERI						2014	2456677.5	20	0946	4	Campfire	2456679.5	22	1500	12	C	33.34666667	-86.03944444	5	USFS	AL	Talladega	121	Talladega	
1723143	300001233	FS-1521237	FED	FS-FIRESTAT	FS	USALALF	National Forests in Alabama	0801	National Forests In Alabama	002	002	EK2T	LONG LOST						2014	2456677.5	20	1000	7	Arson	2456682.5	25	1200	193	D	33.38	-86.01472222	5	USFS	AL	Talladega	121	Talladega	
1723144	300001234	FS-1521234	FED	FS-FIRESTAT	FS	USALALF	National Forests in Alabama	0801	National Forests In Alabama	005	005	EK2T	BACK IN THE SADDLE						2014	2456682.5	25	1453	7	Arson	2456683.5	26	1600	3.2	B	33.45611111	-85.93222222	5	USFS	AL	Talladega	121	Talladega	
1723149	300001239	FS-1520137	FED	FS-FIRESTAT	FS	USGACHF	Chattahoochee-Oconee National Forest	0803	Chattahoochee-Oconee N.F.	004	1	EK2V	OLD PADENA						2014	2456682.5	25	1500	5	Debris Burning	2456682.5	25	1700	0.1	A	34.82222222	-84.25527778	5	USFS	GA	Fannin	111	Fannin	
1723150	300001240	FS-1520138	FED	FS-FIRESTAT	FS	USGACHF	Chattahoochee-Oconee National Forest	0803	Chattahoochee-Oconee N.F.	005	2	EK2V	3300 FIRE						2014	2456683.5	26	1300	9	Miscellaneous	2456683.5	26	1600	3.75	B	34.7325	-84.19972222	13	STATE OR PRIVATE	GA	Fannin	111	Fannin	
1723151	300001241	FS-1520158	FED	FS-FIRESTAT	FS	USGACHF	Chattahoochee-Oconee National Forest	0803	Chattahoochee-Oconee N.F.	003	003	EK2V	CURRAHEE CLIFFS						2014	2456679.5	22	1300	4	Campfire	2456679.5	22	1302	0.1	A	34.52888889	-83.37583333	5	USFS	GA	Stephens	257	Stephens	
1723169	300001259	FS-1521110	FED	FS-FIRESTAT	FS	USGACHF	Chattahoochee-Oconee National Forest	0803	Chattahoochee-Oconee N.F.	006	006	EK2V	OAKEY TOP	261705	OAKEY TOP				2014	2456683.5	26	1600	9	Miscellaneous	2456692.5	35	1000	214	D	34.93638889	-83.16083333	5	USFS	GA	Rabun	241	Rabun	
1723183	300001274	FS-1520283	FED	FS-FIRESTAT	FS	USFLFNF	National Forests in Florida	0805	National Forests In Florida	002	1	EK20	YARD						2014	2456672.5	15	1600	5	Debris Burning	2456672.5	15	1711	0.5	B	30.2425	-82.56694444	13	STATE OR PRIVATE	FL	Columbia	023	Columbia	
1723186	300001277	FS-1520419	FED	FS-FIRESTAT	FS	USFLFNF	National Forests in Florida	0805	National Forests In Florida	004	1	EK2Z	FLAG 1	261524	FLAG 1				2014	2456685.5	28	1515	9	Miscellaneous	2456693.5	36	1526	270	D	29.27194444	-81.92166667	5	USFS	FL	Marion	083	Marion	
1723216	300001307	FS-1520348	FED	FS-FIRESTAT	FS	USFLFNF	National Forests in Florida	0805	National Forests In Florida	001	001	EK2Y	SPRINGHILL						2014	2456665.5	8	1609	7	Arson	2456665.5	8	1645	0.1	A	30.33361111	-84.39361111	5	USFS	FL	Leon	073	Leon	
1723224	300001315	FS-1521141	FED	FS-FIRESTAT	FS	USLAKIF	Kisatchie National Forest	0806	Kisatchie National Forest	008	4	H1GX	AZELEA						2014	2456678.5	21	1221	9	Miscellaneous	2456681.5	24	1200	34	C	31.2	-92.66666667	5	USFS	LA	Rapides	079	Rapides	
1723225	300001316	FS-1521140	FED	FS-FIRESTAT	FS	USLAKIF	Kisatchie National Forest	0806	Kisatchie National Forest	004	3	H1D1	PANTHER						2014	2456674.5	17	0720	9	Miscellaneous	2456674.5	17	0820	1.1	B	30.06666667	-92.05	5	USFS	LA	Grant	043	Grant	
1723233	300001326	FS-1527862	FED	FS-FIRESTAT	FS	USAROZF	Ozark & St. Francis National Forests	0810	Ozark-St. Francis Nat Forests	002	000022	H1EE	EAST END	249636	EAST END				2014	2456674.5	17	1434	7	Arson	2456675.5	18	1704	188	D	35.15972222	-93.58944444	5	USFS	AR	Logan	083	Logan	
1723234	300001327	FS-1520207	FED	FS-FIRESTAT	FS	USAROZF	Ozark & St. Francis National Forests	0810	Ozark-St. Francis Nat Forests	005	000040	H1EE	HANSHAW						2014	2456679.5	22	1420	7	Arson	2456679.5	22	1525	2	B	35.14694444	-93.53527778	5	USFS	AR	Yell	149	Yell	
1723236	300001329	FS-1520077	FED	FS-FIRESTAT	FS	USNCNCF	National Forests in North Carolina	0811	National Forests In N C	003	01	EK26	COG						2014	2456674.5	17	0300	5	Debris Burning	2456674.5	17	0500	0.1	A	35.48027778	-80.02333333	14	MISSING/NOT SPECIFIED	NC	Montgomery	123	Montgomery	
1723237	300001330	FS-1520184	FED	FS-FIRESTAT	FS	USNCNCF	National Forests in North Carolina	0811	National Forests In N C	008	02	H1P1	HIDDEN						2014	2456688.5	31	1300	9	Miscellaneous	2456688.5	31	1500	1	B	35.38305556	-80.05805556	13	STATE OR PRIVATE	NC	Montgomery	123	Montgomery	
1723291	300001386	FS-1521449	FED	FS-FIRESTAT	FS	USSCFMF	Francis Marion & Sumter National Forests	0812	Fran Marion & Sumter N.F.	002	01	H09G	ORCHARD						2014	2456664.5	7	1600	7	Arson	2456664.5	7	1830	1.9	B	33.10805556	-79.77138889	5	USFS	SC	Berkeley	015	Berkeley	
1723292	300001387	FS-1520119	FED	FS-FIRESTAT	FS	USSCFMF	Francis Marion & Sumter National Forests	0812	Fran Marion & Sumter N.F.	001	01	H08U	COLD 						2014	2456663.5	6	1810	2	Equipment Use	2456663.5	6	1930	1.15	B	34.53916667	-81.78638889	5	USFS	SC	Laurens	059	Laurens	
1723295	300001390	FS-1521454	FED	FS-FIRESTAT	FS	USSCFMF	Francis Marion & Sumter National Forests	0812	Fran Marion & Sumter N.F.	004	03	H1JK	HALFWAY						2014	2456680.5	23	1515	2	Equipment Use	2456684.5	27	1600	19.66	C	32.98555556	-79.76388889	5	USFS	SC	Berkeley	015	Berkeley	
1723296	300001391	FS-1521451	FED	FS-FIRESTAT	FS	USSCFMF	Francis Marion & Sumter National Forests	0812	Fran Marion & Sumter N.F.	003	02	H1AK	WARFIELD						2014	2456667.5	10	1030	4	Campfire	2456667.5	10	1500	54	C	33.15666667	-79.52416667	5	USFS	SC	Charleston	019	Charleston	
1723305	300001400	FS-1520120	FED	FS-FIRESTAT	FS	USSCFMF	Francis Marion & Sumter National Forests	0812	Fran Marion & Sumter N.F.	005	2	H1K6	CROSSRAODS						2014	2456682.5	25	1730	2	Equipment Use	2456682.5	25	1827	2.7	B	34.54472222	-81.80305556	5	USFS	SC	Laurens	059	Laurens	
1723326	300001421	FS-1520241	FED	FS-FIRESTAT	FS	USTXTXF	National Forests And Grasslands In Texas	0813	National Forests In Texas	001	01	EK28	ODOM FIRE						2014	2456678.5	21	0700	11	Powerline	2456678.5	21	0845	3.3	B	31.26666667	-95.86666667	13	STATE OR PRIVATE	TX	Trinity	455	Trinity	
